   13.5000 MB /   1.18 sec =   95.9879 Mbps
   10.2500 MB /   0.82 sec =  104.8019 Mbps
   11.7500 MB /   1.00 sec =   98.2652 Mbps
   11.8750 MB /   1.00 sec =   99.8989 Mbps
   12.1250 MB /   1.00 sec =  101.6906 Mbps
   11.9375 MB /   1.00 sec =   99.8706 Mbps
   11.9375 MB /   1.00 sec =   99.9950 Mbps
   11.8750 MB /   1.00 sec =   99.5070 Mbps
   11.8125 MB /   0.99 sec =   99.6127 Mbps
   12.0625 MB /   1.00 sec =  101.2103 Mbps
   11.8750 MB /   1.01 sec =   99.1111 Mbps
   11.8750 MB /   1.00 sec =   99.8675 Mbps
   11.6875 MB /   1.00 sec =   98.1463 Mbps
   12.2500 MB /   1.00 sec =  102.2921 Mbps
   12.0000 MB /   1.02 sec =   99.0781 Mbps
   11.8750 MB /   0.99 sec =  100.6101 Mbps
   11.8125 MB /   0.99 sec =  100.1284 Mbps
   11.9375 MB /   1.00 sec =  100.1517 Mbps
   11.8125 MB /   1.00 sec =   99.2609 Mbps
   12.0625 MB /   1.00 sec =  101.1251 Mbps
   11.9375 MB /   1.00 sec =  100.0943 Mbps
   11.9375 MB /   1.00 sec =  100.1784 Mbps
   11.8125 MB /   1.01 sec =   98.0880 Mbps
   12.0000 MB /   0.99 sec =  101.4569 Mbps
   11.5625 MB /   1.00 sec =   97.2454 Mbps
   12.2500 MB /   1.00 sec =  102.8127 Mbps
   11.8750 MB /   1.00 sec =   99.5755 Mbps
   12.0000 MB /   1.01 sec =  100.0024 Mbps
   12.0000 MB /   1.01 sec =   99.9555 Mbps
   11.8125 MB /   0.99 sec =   99.9706 Mbps
   11.9375 MB /   1.00 sec =  100.6284 Mbps
   11.7500 MB /   1.00 sec =   98.5477 Mbps
   12.0625 MB /   1.00 sec =  101.0127 Mbps
   11.9375 MB /   1.00 sec =  100.3790 Mbps
   11.9375 MB /   1.00 sec =   99.9283 Mbps
   11.9375 MB /   1.01 sec =   99.5508 Mbps
   12.0000 MB /   0.99 sec =  101.4468 Mbps
   11.8750 MB /   1.00 sec =   99.6137 Mbps
   11.9375 MB /   1.01 sec =   99.4973 Mbps
   11.8750 MB /   1.00 sec =   99.9279 Mbps
   11.9375 MB /   1.01 sec =   99.5733 Mbps
