   11.8750 MB /   1.00 sec =   99.5572 Mbps
   12.0625 MB /   1.00 sec =  101.4347 Mbps
   11.9375 MB /   1.01 sec =   99.5374 Mbps
   11.4375 MB /   1.00 sec =   96.3266 Mbps
   12.3125 MB /   1.01 sec =  102.5686 Mbps
   11.9375 MB /   1.00 sec =  100.6311 Mbps
   12.0000 MB /   1.00 sec =  100.6301 Mbps
   11.6250 MB /   1.00 sec =   97.8735 Mbps
   11.6875 MB /   1.00 sec =   98.0382 Mbps
   12.3750 MB /   1.01 sec =  103.2064 Mbps
   12.0000 MB /   0.99 sec =  101.3331 Mbps
   11.8750 MB /   1.00 sec =   99.5731 Mbps
   11.8125 MB /   1.01 sec =   98.3989 Mbps
   12.0000 MB /   0.99 sec =  101.3542 Mbps
   11.8750 MB /   1.00 sec =   99.6253 Mbps
   11.8125 MB /   1.00 sec =   98.7711 Mbps
   12.0000 MB /   1.00 sec =  100.4884 Mbps
   11.9375 MB /   1.00 sec =  100.5010 Mbps
   11.8750 MB /   1.00 sec =   99.7420 Mbps
   11.9375 MB /   1.00 sec =   99.9587 Mbps
   11.7500 MB /   1.00 sec =   98.6970 Mbps
   12.1250 MB /   1.00 sec =  101.2920 Mbps
   12.2500 MB /   1.02 sec =  100.2687 Mbps
   11.6875 MB /   0.97 sec =  100.7583 Mbps
   11.7500 MB /   1.00 sec =   98.4422 Mbps
   12.1250 MB /   1.01 sec =  100.9593 Mbps
   11.9375 MB /   0.99 sec =  101.2821 Mbps
   11.8125 MB /   1.00 sec =   98.8687 Mbps
   11.9375 MB /   1.00 sec =  100.0864 Mbps
   11.9375 MB /   1.00 sec =  100.4654 Mbps
   11.5625 MB /   1.00 sec =   96.9832 Mbps
   12.0625 MB /   1.01 sec =  100.1222 Mbps
   12.0000 MB /   0.99 sec =  101.6211 Mbps
   12.1250 MB /   1.00 sec =  101.7911 Mbps
   11.8125 MB /   1.00 sec =   99.0978 Mbps
   12.0625 MB /   1.00 sec =  101.1974 Mbps
   11.8750 MB /   1.01 sec =   98.7631 Mbps
   11.7500 MB /   0.99 sec =   99.3459 Mbps
   11.7500 MB /   1.00 sec =   98.1811 Mbps
   12.0000 MB /   1.00 sec =  101.0776 Mbps
   12.1875 MB /   1.00 sec =  101.9088 Mbps
   11.8125 MB /   1.00 sec =   99.3768 Mbps
   12.0000 MB /   1.00 sec =  100.2741 Mbps
   11.8125 MB /   1.00 sec =   99.3058 Mbps
   12.0625 MB /   1.00 sec =  101.4381 Mbps
   11.7500 MB /   1.00 sec =   98.4003 Mbps
   11.9375 MB /   1.01 sec =   99.5228 Mbps
   11.9375 MB /   1.00 sec =  100.5422 Mbps
   12.0000 MB /   1.00 sec =  100.9820 Mbps
   11.6250 MB /   1.01 sec =   96.8583 Mbps
   12.0625 MB /   1.00 sec =  101.5798 Mbps
   12.0000 MB /   1.00 sec =  101.0433 Mbps
   12.0000 MB /   1.00 sec =  100.3231 Mbps
   11.8750 MB /   1.00 sec =   99.8199 Mbps
   11.9375 MB /   1.00 sec =   99.8446 Mbps
   11.8750 MB /   1.00 sec =   99.5342 Mbps
   12.0000 MB /   1.00 sec =  100.8490 Mbps
   11.8750 MB /   1.00 sec =   99.7057 Mbps
   11.8125 MB /   1.00 sec =   99.1202 Mbps
   12.1250 MB /   1.00 sec =  101.8401 Mbps
   11.8125 MB /   1.00 sec =   98.9905 Mbps
   11.6875 MB /   1.00 sec =   98.0141 Mbps
   11.8750 MB /   1.00 sec =   99.7093 Mbps
   12.1250 MB /   1.00 sec =  101.8356 Mbps
   11.6875 MB /   1.01 sec =   97.3987 Mbps
   12.3125 MB /   0.99 sec =  103.8247 Mbps
   11.7500 MB /   1.00 sec =   98.6641 Mbps
   12.0625 MB /   1.00 sec =  100.7126 Mbps
   11.8750 MB /   1.00 sec =  100.0690 Mbps
   12.0000 MB /   1.00 sec =  100.7357 Mbps
   11.8125 MB /   1.00 sec =   99.0959 Mbps
   11.8750 MB /   1.00 sec =   99.5690 Mbps
   11.8750 MB /   1.00 sec =   99.6386 Mbps
   12.0625 MB /   1.00 sec =  101.1697 Mbps
   11.9375 MB /   1.00 sec =  100.0239 Mbps
   11.8750 MB /   1.00 sec =   99.5624 Mbps
   11.9375 MB /   1.00 sec =  100.2167 Mbps
   12.0000 MB /   1.00 sec =  100.7694 Mbps
   11.9375 MB /   1.01 sec =   99.3622 Mbps
   11.8125 MB /   0.99 sec =   99.6751 Mbps
   11.9375 MB /   1.00 sec =  100.0749 Mbps
   11.9375 MB /   1.00 sec =   99.9455 Mbps
   11.9375 MB /   1.00 sec =  100.1483 Mbps
   11.7500 MB /   1.00 sec =   98.5139 Mbps
   12.1250 MB /   0.99 sec =  102.2331 Mbps
   11.9375 MB /   1.00 sec =   99.7308 Mbps
   11.8750 MB /   1.00 sec =   99.9330 Mbps
   11.9375 MB /   1.00 sec =  100.2052 Mbps
   11.8125 MB /   1.00 sec =   98.6975 Mbps
   11.8125 MB /   1.00 sec =   99.4334 Mbps
   12.0625 MB /   1.00 sec =  100.6847 Mbps
   11.8125 MB /   1.00 sec =   99.5074 Mbps
   11.8750 MB /   1.00 sec =   99.7941 Mbps
   12.0625 MB /   1.00 sec =  101.1393 Mbps
   11.8750 MB /   1.02 sec =   98.0623 Mbps
   11.9375 MB /   0.99 sec =  101.3353 Mbps
   12.0625 MB /   1.00 sec =  101.5329 Mbps
   11.8750 MB /   1.00 sec =   99.5498 Mbps
   11.9375 MB /   1.00 sec =  100.2354 Mbps
