   15.0000 MB /   1.27 sec =   99.2779 Mbps
    8.8750 MB /   0.74 sec =  100.5447 Mbps
   11.8750 MB /   0.99 sec =  100.3568 Mbps
   12.0000 MB /   1.01 sec =   99.8823 Mbps
   11.8125 MB /   0.99 sec =   99.7697 Mbps
   11.8750 MB /   1.00 sec =   99.6843 Mbps
   12.0000 MB /   1.00 sec =  100.5206 Mbps
   11.4375 MB /   1.00 sec =   95.9422 Mbps
   12.3750 MB /   1.00 sec =  103.6072 Mbps
   11.9375 MB /   1.00 sec =  100.4906 Mbps
   11.7500 MB /   1.00 sec =   98.1309 Mbps
   12.1250 MB /   1.00 sec =  102.1865 Mbps
   11.9375 MB /   1.01 sec =   99.2279 Mbps
   11.9375 MB /   0.99 sec =  100.8060 Mbps
   11.8125 MB /   1.00 sec =   99.2550 Mbps
   12.0000 MB /   1.01 sec =  100.1250 Mbps
   11.9375 MB /   1.01 sec =   99.4661 Mbps
   11.8125 MB /   0.99 sec =  100.3861 Mbps
   11.9375 MB /   1.01 sec =   99.5759 Mbps
   11.8125 MB /   1.00 sec =   99.4765 Mbps
   12.0000 MB /   1.00 sec =  100.6933 Mbps
   12.0000 MB /   1.00 sec =  100.4375 Mbps
   11.9375 MB /   1.00 sec =   99.9268 Mbps
   11.9375 MB /   1.00 sec =   99.6484 Mbps
   11.7500 MB /   0.99 sec =   99.6459 Mbps
   12.0000 MB /   1.00 sec =  100.3935 Mbps
   11.8750 MB /   1.00 sec =   99.8144 Mbps
   12.0625 MB /   1.00 sec =  101.2429 Mbps
   11.8750 MB /   1.00 sec =   99.4392 Mbps
   12.0000 MB /   1.00 sec =  100.8753 Mbps
   11.8125 MB /   1.00 sec =   98.7184 Mbps
   11.9375 MB /   1.00 sec =  100.4857 Mbps
   11.9375 MB /   1.00 sec =   99.8813 Mbps
   11.7500 MB /   1.00 sec =   98.6911 Mbps
   12.1250 MB /   1.01 sec =  100.9806 Mbps
   11.8750 MB /   1.00 sec =  100.0034 Mbps
   11.9375 MB /   1.00 sec =  100.2870 Mbps
   11.9375 MB /   1.00 sec =  100.2260 Mbps
   11.8750 MB /   1.00 sec =   99.4828 Mbps
   11.8750 MB /   1.00 sec =   99.8341 Mbps
   12.0000 MB /   1.00 sec =  100.6579 Mbps
   11.9375 MB /   1.00 sec =   99.8895 Mbps
   11.9375 MB /   1.00 sec =  100.4844 Mbps
   11.8750 MB /   1.00 sec =   99.4337 Mbps
   11.8750 MB /   1.01 sec =   98.9290 Mbps
   11.9375 MB /   1.01 sec =   99.5998 Mbps
   11.7500 MB /   0.99 sec =   99.3055 Mbps
   11.8750 MB /   1.00 sec =   99.9975 Mbps
   11.9375 MB /   1.00 sec =  100.3915 Mbps
   12.1875 MB /   1.01 sec =  101.5093 Mbps
   11.9375 MB /   0.99 sec =  100.8992 Mbps
   11.6250 MB /   1.00 sec =   97.6155 Mbps
   12.1250 MB /   1.00 sec =  101.5024 Mbps
   11.8125 MB /   1.00 sec =   98.7360 Mbps
   12.1875 MB /   1.01 sec =  101.6005 Mbps
   11.8125 MB /   0.99 sec =   99.9400 Mbps
   11.6250 MB /   1.00 sec =   97.4621 Mbps
   11.8125 MB /   1.00 sec =   99.3046 Mbps
   12.3125 MB /   1.00 sec =  102.9949 Mbps
   11.8125 MB /   1.00 sec =   99.5684 Mbps
   12.0625 MB /   1.02 sec =   99.5912 Mbps
   11.8750 MB /   0.98 sec =  101.1680 Mbps
   11.8750 MB /   1.00 sec =   99.5554 Mbps
   11.8750 MB /   1.00 sec =   99.7194 Mbps
   12.0000 MB /   1.00 sec =  100.5087 Mbps
