   15.2500 MB /   1.30 sec =   98.7659 Mbps
    8.1875 MB /   0.71 sec =   97.1595 Mbps
   12.0625 MB /   1.00 sec =  101.2676 Mbps
   11.8750 MB /   1.00 sec =   99.6739 Mbps
   11.9375 MB /   1.00 sec =   99.8943 Mbps
   12.0625 MB /   1.00 sec =  101.4275 Mbps
   12.0000 MB /   1.01 sec =  100.0440 Mbps
   11.7500 MB /   1.01 sec =   97.8948 Mbps
   12.0000 MB /   0.99 sec =  101.6389 Mbps
   11.9375 MB /   1.00 sec =  100.4366 Mbps
   12.0000 MB /   1.01 sec =  100.0357 Mbps
   11.9375 MB /   1.00 sec =  100.3864 Mbps
   11.9375 MB /   1.00 sec =   99.8806 Mbps
   11.7500 MB /   1.00 sec =   98.3763 Mbps
   12.0000 MB /   0.99 sec =  101.5053 Mbps
   11.8125 MB /   1.00 sec =   99.0410 Mbps
   12.1250 MB /   1.00 sec =  101.4457 Mbps
   11.8125 MB /   1.00 sec =   99.4854 Mbps
   11.7500 MB /   1.00 sec =   98.2864 Mbps
   12.1250 MB /   1.00 sec =  101.7882 Mbps
   12.0000 MB /   1.01 sec =  100.0632 Mbps
   12.2500 MB /   1.03 sec =  100.0166 Mbps
   11.5625 MB /   0.97 sec =  100.2392 Mbps
   11.8750 MB /   1.00 sec =   99.9056 Mbps
   11.9375 MB /   1.00 sec =  100.0100 Mbps
   11.9375 MB /   1.01 sec =   99.6035 Mbps
   11.7500 MB /   0.99 sec =   99.2537 Mbps
   12.1250 MB /   1.00 sec =  101.4619 Mbps
   11.8750 MB /   1.00 sec =   99.4200 Mbps
   12.0000 MB /   1.00 sec =  101.1196 Mbps
   11.8125 MB /   1.00 sec =   98.9755 Mbps
   11.8750 MB /   1.00 sec =   99.6602 Mbps
   12.0625 MB /   1.00 sec =  100.9663 Mbps
   11.9375 MB /   1.00 sec =   99.7047 Mbps
   11.8750 MB /   1.00 sec =   99.3805 Mbps
   11.8125 MB /   1.00 sec =   99.1972 Mbps
   11.9375 MB /   0.99 sec =  100.9051 Mbps
   11.8125 MB /   1.00 sec =   98.8902 Mbps
   12.0625 MB /   1.00 sec =  101.4636 Mbps
   11.8750 MB /   1.00 sec =   99.6499 Mbps
   11.6250 MB /   1.00 sec =   97.1907 Mbps
   12.3125 MB /   1.00 sec =  103.6405 Mbps
   11.5000 MB /   1.00 sec =   96.2707 Mbps
   12.2500 MB /   1.00 sec =  102.2981 Mbps
   11.5625 MB /   1.00 sec =   97.4203 Mbps
   12.0625 MB /   1.00 sec =  100.7362 Mbps
   12.1875 MB /   1.00 sec =  102.4618 Mbps
   12.0000 MB /   1.00 sec =  100.6999 Mbps
   11.8125 MB /   1.00 sec =   99.3187 Mbps
   11.9375 MB /   1.01 sec =   99.5810 Mbps
   11.9375 MB /   0.99 sec =  100.6915 Mbps
   11.9375 MB /   1.00 sec =   99.7993 Mbps
   11.8750 MB /   1.00 sec =   99.7416 Mbps
