   13.9375 MB /   1.22 sec =   95.5231 Mbps
    9.8125 MB /   0.78 sec =  105.5820 Mbps
   11.7500 MB /   1.00 sec =   98.9273 Mbps
   12.1250 MB /   1.00 sec =  101.5188 Mbps
   11.6875 MB /   1.00 sec =   98.2368 Mbps
   12.0625 MB /   1.00 sec =  101.0587 Mbps
   11.6875 MB /   1.01 sec =   97.3681 Mbps
   11.5625 MB /   1.00 sec =   97.2525 Mbps
   12.5625 MB /   1.00 sec =  105.7408 Mbps
   11.8750 MB /   1.00 sec =   99.8340 Mbps
   11.7500 MB /   1.00 sec =   98.0894 Mbps
   12.1250 MB /   1.01 sec =  101.2038 Mbps
   11.6250 MB /   0.99 sec =   98.4568 Mbps
   12.1875 MB /   1.00 sec =  102.2313 Mbps
   11.9375 MB /   1.00 sec =  100.1266 Mbps
   12.0000 MB /   1.00 sec =  100.3924 Mbps
   11.8125 MB /   1.00 sec =   99.2861 Mbps
   11.9375 MB /   1.00 sec =   99.8649 Mbps
   12.0000 MB /   1.00 sec =  100.4196 Mbps
   11.9375 MB /   1.00 sec =   99.8120 Mbps
   11.4375 MB /   0.99 sec =   96.4783 Mbps
   12.0000 MB /   1.00 sec =  100.8027 Mbps
   12.1250 MB /   1.00 sec =  101.2129 Mbps
   11.7500 MB /   0.99 sec =   99.0933 Mbps
   12.1875 MB /   1.00 sec =  102.4523 Mbps
   11.8750 MB /   1.00 sec =   99.2833 Mbps
   11.8750 MB /   1.00 sec =   99.5941 Mbps
   12.0625 MB /   1.00 sec =  101.2367 Mbps
   11.6875 MB /   1.00 sec =   98.1896 Mbps
   12.1875 MB /   1.00 sec =  102.0832 Mbps
   11.8750 MB /   1.00 sec =   99.7899 Mbps
   11.8750 MB /   1.00 sec =   99.4954 Mbps
   11.8125 MB /   1.00 sec =   99.1184 Mbps
   12.0000 MB /   1.00 sec =  100.8472 Mbps
   12.0000 MB /   1.00 sec =  100.6999 Mbps
   11.9375 MB /   1.00 sec =   99.7153 Mbps
   11.8125 MB /   1.00 sec =   99.4548 Mbps
   11.8125 MB /   1.00 sec =   99.1492 Mbps
   12.0000 MB /   1.00 sec =  100.4092 Mbps
   11.9375 MB /   1.01 sec =   99.5430 Mbps
   11.8125 MB /   0.99 sec =   99.7892 Mbps
   12.1250 MB /   1.00 sec =  101.6403 Mbps
   11.9375 MB /   1.00 sec =  100.2994 Mbps
   11.9375 MB /   1.01 sec =   99.6281 Mbps
   11.6250 MB /   1.00 sec =   97.9513 Mbps
   11.9375 MB /   1.00 sec =   99.9637 Mbps
   12.1250 MB /   1.00 sec =  101.3575 Mbps
   11.9375 MB /   0.99 sec =  100.7838 Mbps
   11.9375 MB /   1.00 sec =  100.1467 Mbps
   12.0000 MB /   1.00 sec =  100.4474 Mbps
   11.6250 MB /   1.00 sec =   97.7363 Mbps
   12.0000 MB /   1.00 sec =  100.2096 Mbps
   12.0000 MB /   1.00 sec =  101.1448 Mbps
   12.0000 MB /   1.00 sec =  100.3119 Mbps
   11.7500 MB /   1.00 sec =   98.8792 Mbps
   11.9375 MB /   1.00 sec =  100.0660 Mbps
   12.0000 MB /   1.00 sec =  100.7775 Mbps
   11.6250 MB /   1.00 sec =   97.1345 Mbps
   12.3125 MB /   1.00 sec =  103.6767 Mbps
   11.9375 MB /   1.01 sec =   99.3712 Mbps
   11.6250 MB /   1.00 sec =   97.9765 Mbps
   12.2500 MB /   1.00 sec =  103.0699 Mbps
   11.8750 MB /   1.00 sec =   99.3765 Mbps
   11.6875 MB /   1.00 sec =   98.0269 Mbps
   12.1250 MB /   1.00 sec =  101.8703 Mbps
   11.7500 MB /   1.00 sec =   98.3054 Mbps
   11.9375 MB /   1.00 sec =  100.4538 Mbps
   12.0000 MB /   1.00 sec =  100.2736 Mbps
   11.9375 MB /   1.00 sec =  100.1493 Mbps
   11.9375 MB /   1.00 sec =  100.5673 Mbps
   11.9375 MB /   1.00 sec =   99.7247 Mbps
   11.8125 MB /   1.00 sec =   99.4874 Mbps
   12.0625 MB /   1.00 sec =  100.7937 Mbps
   11.6875 MB /   1.00 sec =   97.8940 Mbps
   12.1250 MB /   1.00 sec =  101.8234 Mbps
   11.8125 MB /   1.00 sec =   99.4880 Mbps
   12.1250 MB /   1.00 sec =  101.4357 Mbps
   11.9375 MB /   1.01 sec =   99.5599 Mbps
   11.7500 MB /   1.00 sec =   99.0418 Mbps
   11.9375 MB /   1.00 sec =   99.8585 Mbps
   11.8750 MB /   1.00 sec =  100.1144 Mbps
   12.0000 MB /   1.00 sec =  100.7384 Mbps
   12.0000 MB /   1.00 sec =  100.2534 Mbps
   11.8125 MB /   0.99 sec =   99.6549 Mbps
   12.0625 MB /   1.01 sec =  100.3693 Mbps
   11.6875 MB /   0.99 sec =   98.7936 Mbps
   12.0625 MB /   1.01 sec =  100.5294 Mbps
   11.5625 MB /   1.00 sec =   97.4232 Mbps
   12.2500 MB /   1.00 sec =  102.8669 Mbps
   12.0000 MB /   1.01 sec =   99.9932 Mbps
   11.7500 MB /   0.99 sec =   99.2188 Mbps
   11.9375 MB /   1.00 sec =  100.2297 Mbps
   11.2500 MB /   1.01 sec =   93.6729 Mbps
   12.6875 MB /   0.99 sec =  107.2229 Mbps
   11.4375 MB /   1.00 sec =   95.9714 Mbps
   12.3125 MB /   1.00 sec =  102.9321 Mbps
   12.0625 MB /   1.00 sec =  101.3342 Mbps
   11.9375 MB /   1.00 sec =  100.1562 Mbps
   11.7500 MB /   1.00 sec =   98.3711 Mbps
   11.8125 MB /   1.00 sec =   99.0360 Mbps
   12.0000 MB /   1.00 sec =  101.1159 Mbps
   12.0000 MB /   1.00 sec =  100.6781 Mbps
   11.7500 MB /   1.01 sec =   98.0294 Mbps
   11.6250 MB /   1.00 sec =   97.9725 Mbps
   12.3750 MB /   1.00 sec =  103.3223 Mbps
   12.0000 MB /   1.00 sec =  100.9835 Mbps
   11.8750 MB /   1.00 sec =   99.8380 Mbps
   11.9375 MB /   1.01 sec =   99.2834 Mbps
   11.8750 MB /   0.99 sec =  100.3294 Mbps
   12.0625 MB /   1.00 sec =  101.3227 Mbps
