   14.6875 MB /   1.25 sec =   98.8104 Mbps
    9.0000 MB /   0.75 sec =  100.1005 Mbps
   11.8750 MB /   1.00 sec =   99.6325 Mbps
   12.0625 MB /   1.00 sec =  101.2373 Mbps
   11.8125 MB /   1.00 sec =   98.9842 Mbps
   11.9375 MB /   1.00 sec =  100.2380 Mbps
   12.0000 MB /   1.00 sec =  100.4310 Mbps
   11.7500 MB /   1.00 sec =   98.2101 Mbps
   12.0625 MB /   1.00 sec =  101.4465 Mbps
   11.9375 MB /   1.00 sec =  100.4523 Mbps
   12.0000 MB /   1.01 sec =  100.0070 Mbps
   11.5625 MB /   1.00 sec =   97.2092 Mbps
   12.0000 MB /   1.00 sec =  101.0416 Mbps
   11.8750 MB /   1.00 sec =   99.6421 Mbps
   12.1250 MB /   1.00 sec =  101.7469 Mbps
   11.9375 MB /   1.01 sec =   99.5051 Mbps
   11.9375 MB /   1.00 sec =  100.4493 Mbps
   11.8750 MB /   1.00 sec =   99.9577 Mbps
   12.0000 MB /   1.00 sec =  100.6385 Mbps
   11.9375 MB /   1.00 sec =   99.7990 Mbps
   11.8750 MB /   1.00 sec =   99.3745 Mbps
   11.4375 MB /   1.00 sec =   96.3350 Mbps
   12.2500 MB /   1.00 sec =  102.9668 Mbps
   11.8750 MB /   1.00 sec =   99.1192 Mbps
   12.0625 MB /   1.00 sec =  101.5073 Mbps
   11.8125 MB /   1.01 sec =   98.4366 Mbps
   11.8750 MB /   0.99 sec =  100.1816 Mbps
   12.1875 MB /   1.00 sec =  102.1447 Mbps
   11.8750 MB /   1.00 sec =   99.5975 Mbps
   11.9375 MB /   1.00 sec =  100.5606 Mbps
   11.9375 MB /   1.00 sec =   99.6832 Mbps
   11.8750 MB /   1.00 sec =  100.0641 Mbps
   12.0000 MB /   1.01 sec =  100.0610 Mbps
   11.6875 MB /   1.00 sec =   98.1379 Mbps
   12.0000 MB /   1.00 sec =  100.9561 Mbps
   11.8125 MB /   1.00 sec =   98.9932 Mbps
   12.0000 MB /   1.00 sec =  100.2035 Mbps
   11.8750 MB /   0.99 sec =  100.2699 Mbps
   12.0625 MB /   1.00 sec =  100.7598 Mbps
   11.8750 MB /   0.99 sec =  100.1688 Mbps
   11.8750 MB /   1.00 sec =   99.6034 Mbps
   11.9375 MB /   1.00 sec =  100.1664 Mbps
   12.0000 MB /   1.00 sec =  100.4294 Mbps
   11.9375 MB /   1.01 sec =   99.4844 Mbps
   11.8750 MB /   0.99 sec =  100.2851 Mbps
   11.7500 MB /   1.01 sec =   97.8822 Mbps
   12.1250 MB /   0.99 sec =  102.2661 Mbps
   11.9375 MB /   1.00 sec =  100.4414 Mbps
   11.7500 MB /   1.00 sec =   98.4445 Mbps
   12.1250 MB /   1.00 sec =  101.3090 Mbps
   11.8750 MB /   1.00 sec =   99.9930 Mbps
   11.7500 MB /   1.01 sec =   97.9602 Mbps
   12.0625 MB /   0.99 sec =  101.7395 Mbps
   11.7500 MB /   1.00 sec =   98.5991 Mbps
   11.6250 MB /   1.00 sec =   97.5211 Mbps
   12.3125 MB /   1.00 sec =  103.1466 Mbps
   12.0000 MB /   1.00 sec =  101.0323 Mbps
   11.9375 MB /   1.00 sec =   99.9507 Mbps
   11.8750 MB /   1.00 sec =   99.4939 Mbps
   12.0625 MB /   1.00 sec =  101.5106 Mbps
   11.8750 MB /   1.02 sec =   98.0201 Mbps
   11.7500 MB /   0.98 sec =  100.1690 Mbps
   12.0625 MB /   1.00 sec =  100.7756 Mbps
   11.8125 MB /   1.00 sec =   99.4626 Mbps
   12.0000 MB /   1.00 sec =  100.2265 Mbps
   11.7500 MB /   1.00 sec =   98.4077 Mbps
   11.8125 MB /   0.99 sec =   99.6041 Mbps
   12.2500 MB /   1.01 sec =  102.0127 Mbps
   11.6875 MB /   0.99 sec =   98.8581 Mbps
   12.0000 MB /   1.00 sec =  100.6262 Mbps
   11.8750 MB /   1.01 sec =   98.7661 Mbps
   12.0625 MB /   0.99 sec =  101.7538 Mbps
   11.9375 MB /   1.00 sec =  100.3065 Mbps
   12.0000 MB /   1.00 sec =  100.7618 Mbps
   11.8750 MB /   1.00 sec =   99.5888 Mbps
   11.9375 MB /   1.00 sec =  100.1250 Mbps
   11.9375 MB /   1.01 sec =   99.4819 Mbps
   11.8125 MB /   0.99 sec =   99.7785 Mbps
   12.0000 MB /   1.00 sec =  100.7288 Mbps
   11.8125 MB /   1.01 sec =   98.4581 Mbps
   12.0000 MB /   1.00 sec =  100.9644 Mbps
   11.6875 MB /   1.00 sec =   98.2455 Mbps
   11.9375 MB /   1.00 sec =   99.9899 Mbps
   12.0625 MB /   1.00 sec =  100.8456 Mbps
   12.0625 MB /   1.00 sec =  101.1638 Mbps
   11.8125 MB /   1.00 sec =   99.5765 Mbps
   11.9375 MB /   1.00 sec =  100.2734 Mbps
   11.9375 MB /   1.00 sec =  100.2389 Mbps
   12.0000 MB /   1.01 sec =   99.7029 Mbps
   11.8750 MB /   0.99 sec =  100.3971 Mbps
   11.8125 MB /   1.00 sec =   99.2293 Mbps
   11.8750 MB /   1.01 sec =   99.0978 Mbps
   12.0625 MB /   1.00 sec =  101.5523 Mbps
   11.9375 MB /   1.00 sec =  100.1217 Mbps
   11.8750 MB /   1.00 sec =   99.6667 Mbps
   11.9375 MB /   1.00 sec =   99.9682 Mbps
   11.9375 MB /   1.00 sec =  100.0598 Mbps
   11.9375 MB /   1.00 sec =  100.4218 Mbps
   11.8125 MB /   1.00 sec =   98.9850 Mbps
   12.0625 MB /   1.01 sec =  100.6363 Mbps
   11.5625 MB /   0.99 sec =   97.6940 Mbps
   12.2500 MB /   1.01 sec =  102.0846 Mbps
   11.9375 MB /   1.00 sec =  100.0580 Mbps
   11.6875 MB /   0.99 sec =   98.5965 Mbps
   12.0000 MB /   1.00 sec =  100.4727 Mbps
   11.9375 MB /   1.00 sec =  100.2471 Mbps
   12.0000 MB /   1.00 sec =  100.8040 Mbps
   11.9375 MB /   1.00 sec =  100.0937 Mbps
   11.8750 MB /   1.00 sec =   99.5559 Mbps
   12.0000 MB /   1.00 sec =  100.5289 Mbps
   11.8750 MB /   1.01 sec =   99.0894 Mbps
   12.0000 MB /   0.99 sec =  101.5891 Mbps
   11.8125 MB /   1.00 sec =   98.9016 Mbps
   11.8750 MB /   1.01 sec =   99.0981 Mbps
   12.0000 MB /   1.00 sec =  100.9910 Mbps
   12.0000 MB /   1.00 sec =  100.3076 Mbps
   11.8125 MB /   0.99 sec =   99.6487 Mbps
   11.9375 MB /   1.00 sec =   99.8266 Mbps
   11.8750 MB /   1.00 sec =   99.4638 Mbps
   12.0625 MB /   0.99 sec =  101.8952 Mbps
   11.6875 MB /   1.00 sec =   97.9783 Mbps
   12.0000 MB /   1.01 sec =  100.0287 Mbps
   12.0000 MB /   1.00 sec =  100.8354 Mbps
   11.7500 MB /   1.00 sec =   98.4939 Mbps
   12.1250 MB /   1.00 sec =  102.1577 Mbps
   11.9375 MB /   1.00 sec =   99.6516 Mbps
   11.8750 MB /   1.00 sec =   99.3520 Mbps
   11.8750 MB /   0.99 sec =  100.3441 Mbps
   12.0000 MB /   1.01 sec =   99.9859 Mbps
   11.9375 MB /   0.99 sec =  101.0091 Mbps
   11.6875 MB /   1.01 sec =   97.1239 Mbps
   12.1250 MB /   0.99 sec =  102.6745 Mbps
   11.8125 MB /   1.00 sec =   98.9971 Mbps
   12.0000 MB /   1.00 sec =  100.5585 Mbps
   11.8125 MB /   1.00 sec =   99.3355 Mbps
   11.9375 MB /   1.00 sec =  100.0586 Mbps
   11.9375 MB /   1.00 sec =   99.9504 Mbps
   12.0000 MB /   1.00 sec =  100.4863 Mbps
   11.8750 MB /   1.00 sec =   99.6242 Mbps
   12.0000 MB /   1.01 sec =  100.1035 Mbps
   11.8125 MB /   0.99 sec =   99.6295 Mbps
   12.0625 MB /   1.00 sec =  101.5422 Mbps
   11.9375 MB /   1.00 sec =   99.9887 Mbps
   11.8125 MB /   1.00 sec =   98.7906 Mbps
   11.8750 MB /   0.99 sec =  100.1408 Mbps
   12.0000 MB /   1.00 sec =  100.5605 Mbps
   11.7500 MB /   1.01 sec =   98.0726 Mbps
   12.0000 MB /   1.01 sec =   99.9475 Mbps
   12.0625 MB /   0.99 sec =  102.2981 Mbps
   11.8750 MB /   1.00 sec =   99.8049 Mbps
   11.8750 MB /   1.00 sec =   99.6299 Mbps
   12.0000 MB /   1.00 sec =  100.1927 Mbps
   11.8125 MB /   1.00 sec =   99.5150 Mbps
   12.0625 MB /   1.00 sec =  101.2549 Mbps
   11.8125 MB /   1.00 sec =   99.1081 Mbps
   11.8125 MB /   1.00 sec =   98.8909 Mbps
   12.0000 MB /   1.01 sec =  100.1497 Mbps
   11.8750 MB /   1.00 sec =   99.9362 Mbps
   12.0000 MB /   1.00 sec =  101.0619 Mbps
   11.7500 MB /   1.00 sec =   98.1540 Mbps
   11.7500 MB /   1.00 sec =   98.7246 Mbps
   12.2500 MB /   1.00 sec =  102.5847 Mbps
   11.9375 MB /   1.00 sec =   99.6782 Mbps
   11.9375 MB /   0.99 sec =  100.7777 Mbps
   11.8750 MB /   1.01 sec =   98.9101 Mbps
   12.0625 MB /   1.00 sec =  101.5432 Mbps
   11.8750 MB /   1.01 sec =   99.0846 Mbps
   11.8125 MB /   0.99 sec =  100.0654 Mbps
   12.1875 MB /   1.01 sec =  100.7775 Mbps
   11.7500 MB /   0.99 sec =   99.7360 Mbps
   11.7500 MB /   1.00 sec =   98.8087 Mbps
   11.9375 MB /   1.00 sec =  100.3419 Mbps
   12.0000 MB /   1.01 sec =   99.9312 Mbps
   11.8750 MB /   0.99 sec =  100.3733 Mbps
   12.0625 MB /   1.00 sec =  100.8759 Mbps
   11.8750 MB /   1.00 sec =   99.3658 Mbps
   11.8750 MB /   1.00 sec =  100.0421 Mbps
   11.9375 MB /   1.00 sec =  100.2456 Mbps
   12.0000 MB /   1.00 sec =  100.3905 Mbps
   11.8750 MB /   1.00 sec =   99.4366 Mbps
   11.8125 MB /   1.00 sec =   99.1906 Mbps
   11.9375 MB /   1.00 sec =   99.7378 Mbps
   12.0625 MB /   1.01 sec =  100.5559 Mbps
   11.8750 MB /   0.99 sec =  100.5771 Mbps
   11.8125 MB /   1.00 sec =   99.2816 Mbps
   12.0000 MB /   1.00 sec =  100.7682 Mbps
   11.9375 MB /   1.00 sec =  100.1693 Mbps
   11.9375 MB /   1.01 sec =   99.3086 Mbps
   11.9375 MB /   0.99 sec =  100.9060 Mbps
   11.8125 MB /   1.00 sec =   98.7378 Mbps
   12.0000 MB /   1.00 sec =  101.1298 Mbps
   11.9375 MB /   1.00 sec =   99.9219 Mbps
   11.8750 MB /   1.00 sec =   99.4366 Mbps
   11.8750 MB /   1.00 sec =  100.0360 Mbps
   11.9375 MB /   1.00 sec =  100.0844 Mbps
   11.8750 MB /   1.00 sec =   99.6515 Mbps
   12.0000 MB /   1.00 sec =  100.1896 Mbps
   11.9375 MB /   1.00 sec =  100.4512 Mbps
   12.0000 MB /   1.01 sec =   99.8591 Mbps
   11.8125 MB /   0.99 sec =   99.6830 Mbps
   11.9375 MB /   1.00 sec =  100.4454 Mbps
   11.8750 MB /   1.00 sec =   99.2218 Mbps
   12.0000 MB /   1.00 sec =  100.7251 Mbps
   11.8125 MB /   1.00 sec =   99.1074 Mbps
   11.7500 MB /   1.00 sec =   98.9495 Mbps
   12.0000 MB /   1.00 sec =  100.5939 Mbps
   12.0000 MB /   1.00 sec =  100.2884 Mbps
   12.0625 MB /   1.00 sec =  101.4512 Mbps
   11.8125 MB /   1.00 sec =   99.3549 Mbps
   11.6875 MB /   1.00 sec =   97.7762 Mbps
   11.8125 MB /   1.00 sec =   99.3495 Mbps
   12.3125 MB /   1.00 sec =  103.0421 Mbps
   11.8750 MB /   1.00 sec =   99.6392 Mbps
   11.9375 MB /   1.00 sec =  100.3434 Mbps
   12.0625 MB /   1.01 sec =  100.4433 Mbps
   11.6250 MB /   0.99 sec =   98.0258 Mbps
   12.1250 MB /   1.00 sec =  101.8856 Mbps
   11.8125 MB /   1.00 sec =   98.6510 Mbps
   12.0625 MB /   1.00 sec =  101.5186 Mbps
   11.8125 MB /   1.00 sec =   99.2584 Mbps
   11.9375 MB /   1.00 sec =  100.0095 Mbps
   12.0000 MB /   1.00 sec =  100.3741 Mbps
   11.8750 MB /   1.00 sec =   99.7782 Mbps
   11.8750 MB /   1.00 sec =   99.8642 Mbps
   11.9375 MB /   1.00 sec =  100.1391 Mbps
   11.8750 MB /   1.00 sec =   99.2264 Mbps
   12.0625 MB /   1.00 sec =  100.7554 Mbps
   11.9375 MB /   1.00 sec =   99.9632 Mbps
   11.7500 MB /   1.00 sec =   98.9662 Mbps
   12.0000 MB /   1.00 sec =  100.4761 Mbps
   11.9375 MB /   0.99 sec =  100.8299 Mbps
   11.9375 MB /   1.00 sec =   99.8861 Mbps
   11.9375 MB /   1.00 sec =   99.7393 Mbps
   11.8750 MB /   0.99 sec =  100.1953 Mbps
   11.9375 MB /   1.00 sec =   99.9756 Mbps
   11.9375 MB /   1.00 sec =   99.9330 Mbps
   11.8750 MB /   1.01 sec =   99.1032 Mbps
   11.9375 MB /   0.99 sec =  100.8759 Mbps
   11.9375 MB /   1.00 sec =  100.4579 Mbps
   11.8125 MB /   1.00 sec =   98.9287 Mbps
   11.6875 MB /   1.01 sec =   97.4960 Mbps
   12.2500 MB /   0.99 sec =  103.4828 Mbps
   11.8125 MB /   1.00 sec =   98.9009 Mbps
   12.0000 MB /   1.00 sec =  100.8401 Mbps
   11.8750 MB /   1.00 sec =   99.4962 Mbps
   12.0000 MB /   1.00 sec =  100.5526 Mbps
   11.8750 MB /   1.00 sec =   99.8412 Mbps
   12.0625 MB /   1.00 sec =  101.2397 Mbps
   11.8750 MB /   1.00 sec =   99.5442 Mbps
   11.7500 MB /   1.00 sec =   98.6507 Mbps
   12.1250 MB /   1.01 sec =  100.9796 Mbps
   11.8750 MB /   1.00 sec =   99.9307 Mbps
   11.9375 MB /   1.00 sec =  100.4923 Mbps
   11.6875 MB /   1.00 sec =   98.0700 Mbps
   11.8125 MB /   1.00 sec =   98.8222 Mbps
   12.0625 MB /   1.00 sec =  101.4734 Mbps
   12.0000 MB /   1.01 sec =  100.0598 Mbps
   12.0625 MB /   0.99 sec =  101.7692 Mbps
   11.9375 MB /   1.01 sec =   99.4133 Mbps
   11.8750 MB /   0.99 sec =  100.3594 Mbps
   11.9375 MB /   1.00 sec =   99.7981 Mbps
   11.8125 MB /   1.00 sec =   99.4074 Mbps
   11.6875 MB /   1.00 sec =   97.6318 Mbps
   12.2500 MB /   1.00 sec =  103.2105 Mbps
   11.9375 MB /   1.01 sec =   99.3366 Mbps
   11.8125 MB /   0.99 sec =   99.9639 Mbps
   12.0000 MB /   1.00 sec =  100.2179 Mbps
   11.8750 MB /   1.00 sec =   99.6702 Mbps
   12.0000 MB /   1.00 sec =  100.4750 Mbps
   11.8750 MB /   1.00 sec =  100.0284 Mbps
   12.0000 MB /   1.01 sec =   99.9911 Mbps
   11.8125 MB /   0.99 sec =   99.8325 Mbps
   11.9375 MB /   1.00 sec =  100.0657 Mbps
   11.9375 MB /   1.01 sec =   99.5076 Mbps
   11.9375 MB /   0.99 sec =  100.7568 Mbps
   11.9375 MB /   1.00 sec =   99.9932 Mbps
   11.8750 MB /   1.01 sec =   98.9099 Mbps
   11.8750 MB /   0.99 sec =  100.5715 Mbps
   11.9375 MB /   1.01 sec =   99.3796 Mbps
   11.9375 MB /   0.99 sec =  100.9383 Mbps
   12.0000 MB /   1.00 sec =  100.2043 Mbps
   11.8125 MB /   1.00 sec =   99.5370 Mbps
   11.9375 MB /   1.00 sec =   99.9319 Mbps
   11.8125 MB /   1.00 sec =   99.1827 Mbps
   12.0625 MB /   1.00 sec =  101.2519 Mbps
   11.8750 MB /   1.04 sec =   95.9603 Mbps
   11.8750 MB /   0.96 sec =  103.6683 Mbps
   12.0000 MB /   1.00 sec =  100.5585 Mbps
   11.9375 MB /   1.00 sec =   99.9240 Mbps
   11.9375 MB /   1.00 sec =   99.6547 Mbps
   11.9375 MB /   1.00 sec =  100.0008 Mbps
   11.9375 MB /   1.00 sec =  100.3170 Mbps
   11.8750 MB /   0.99 sec =  100.4018 Mbps
   12.0000 MB /   1.01 sec =  100.0750 Mbps
   11.6250 MB /   1.00 sec =   97.7361 Mbps
   11.9375 MB /   1.00 sec =  100.3670 Mbps
   12.1250 MB /   1.00 sec =  101.6114 Mbps
   11.8750 MB /   1.02 sec =   97.7217 Mbps
   12.0000 MB /   0.99 sec =  101.9930 Mbps
   11.8750 MB /   1.00 sec =  100.0974 Mbps

 3576.3125 MB / 300.40 sec =   99.8694 Mbps 33 %TX 1 %RX 7.92 msRTT
