    4.8125 MB /   1.00 sec =   40.3804 Mbps
    4.7500 MB /   1.00 sec =   39.7160 Mbps
    4.7500 MB /   1.00 sec =   39.9157 Mbps
    5.0625 MB /   1.06 sec =   40.0822 Mbps
    5.8125 MB /   1.21 sec =   40.1419 Mbps
    3.4375 MB /   0.73 sec =   39.7544 Mbps
    4.8125 MB /   1.00 sec =   40.2053 Mbps
    4.7500 MB /   1.00 sec =   39.8524 Mbps
    4.8125 MB /   1.00 sec =   40.2463 Mbps
    6.1875 MB /   1.30 sec =   40.0776 Mbps
    3.3125 MB /   0.70 sec =   39.7053 Mbps
    4.7500 MB /   1.00 sec =   39.7777 Mbps
    5.0000 MB /   1.05 sec =   40.0492 Mbps
    4.5000 MB /   0.95 sec =   39.8417 Mbps
    4.8125 MB /   1.00 sec =   40.2243 Mbps
    4.7500 MB /   1.00 sec =   39.8744 Mbps
    5.8125 MB /   1.21 sec =   40.2546 Mbps
    3.7500 MB /   0.79 sec =   40.0203 Mbps
    4.7500 MB /   1.00 sec =   39.7998 Mbps
    4.8125 MB /   1.00 sec =   40.2849 Mbps
    4.7500 MB /   1.00 sec =   39.9928 Mbps
    4.7500 MB /   1.00 sec =   39.8022 Mbps
    4.7500 MB /   1.00 sec =   39.7980 Mbps
    4.8125 MB /   1.00 sec =   40.4829 Mbps
    4.7500 MB /   1.00 sec =   39.8390 Mbps
    4.7500 MB /   1.00 sec =   39.7476 Mbps
    4.7500 MB /   1.00 sec =   39.8865 Mbps
    4.7500 MB /   1.00 sec =   39.8415 Mbps
    4.8125 MB /   1.00 sec =   40.3425 Mbps
    4.7500 MB /   1.00 sec =   39.8770 Mbps
    8.0000 MB /   1.68 sec =   40.0427 Mbps
    1.5625 MB /   0.32 sec =   40.3749 Mbps
    4.8125 MB /   1.01 sec =   39.9995 Mbps
   10.1250 MB /   2.12 sec =   40.0210 Mbps
    4.1250 MB /   0.87 sec =   39.8093 Mbps
    5.7500 MB /   1.20 sec =   40.1898 Mbps
    3.8125 MB /   0.80 sec =   40.1242 Mbps
    4.7500 MB /   1.00 sec =   39.8424 Mbps
    4.7500 MB /   1.00 sec =   39.6605 Mbps
    4.7500 MB /   1.00 sec =   39.9771 Mbps
    4.8125 MB /   1.00 sec =   40.2993 Mbps
    4.7500 MB /   1.00 sec =   39.8322 Mbps
    7.5000 MB /   1.57 sec =   40.1600 Mbps
    2.0000 MB /   0.43 sec =   38.7870 Mbps
   16.6250 MB /   3.47 sec =   40.1365 Mbps
    2.5000 MB /   0.53 sec =   39.8617 Mbps
    4.7500 MB /   1.00 sec =   39.7355 Mbps
    4.8125 MB /   1.00 sec =   40.3631 Mbps
    4.7500 MB /   0.99 sec =   40.0962 Mbps
    6.2500 MB /   1.32 sec =   39.8464 Mbps
    3.3125 MB /   0.70 sec =   39.7786 Mbps
    4.8125 MB /   1.01 sec =   40.0964 Mbps
    7.8125 MB /   1.64 sec =   40.0603 Mbps
    3.3750 MB /   0.70 sec =   40.1679 Mbps
    6.0000 MB /   1.26 sec =   39.8302 Mbps
    2.0625 MB /   0.43 sec =   40.5439 Mbps
    5.3125 MB /   1.11 sec =   40.0121 Mbps
    5.5625 MB /   1.18 sec =   39.6466 Mbps
    3.1875 MB /   0.66 sec =   40.5588 Mbps
    4.7500 MB /   1.00 sec =   39.9209 Mbps
    6.8125 MB /   1.43 sec =   39.9107 Mbps
    2.7500 MB /   0.58 sec =   39.8456 Mbps
    4.7500 MB /   0.99 sec =   40.3004 Mbps
    6.1875 MB /   1.30 sec =   39.9889 Mbps
    3.3750 MB /   0.70 sec =   40.2127 Mbps
    4.7500 MB /   1.00 sec =   39.8482 Mbps
    4.7500 MB /   1.00 sec =   39.7978 Mbps
    4.7500 MB /   1.00 sec =   39.9543 Mbps
    4.7500 MB /   1.00 sec =   39.8417 Mbps
    5.3750 MB /   1.12 sec =   40.0813 Mbps
    5.0000 MB /   1.05 sec =   40.1256 Mbps
    4.0000 MB /   0.83 sec =   40.2097 Mbps
    4.7500 MB /   0.99 sec =   40.0474 Mbps
    7.0625 MB /   1.49 sec =   39.7904 Mbps
    2.4375 MB /   0.51 sec =   40.0486 Mbps
    5.1875 MB /   1.08 sec =   40.2635 Mbps
    8.2500 MB /   1.73 sec =   40.0143 Mbps
    0.9375 MB /   0.19 sec =   40.6206 Mbps
    5.7500 MB /   1.22 sec =   39.6776 Mbps
    3.7500 MB /   0.78 sec =   40.1866 Mbps
    4.8125 MB /   1.01 sec =   39.9144 Mbps
    4.8125 MB /   1.01 sec =   40.1054 Mbps
    4.6875 MB /   0.98 sec =   40.1031 Mbps
    4.7500 MB /   1.00 sec =   39.8339 Mbps
    4.7500 MB /   1.00 sec =   39.7655 Mbps
    4.8125 MB /   1.00 sec =   40.4000 Mbps
    4.7500 MB /   1.00 sec =   39.8387 Mbps
    4.8125 MB /   1.00 sec =   40.2971 Mbps
    4.7500 MB /   1.00 sec =   39.8037 Mbps
    4.7500 MB /   0.99 sec =   40.0557 Mbps
    4.8125 MB /   1.01 sec =   40.0668 Mbps
    4.6875 MB /   0.99 sec =   39.5811 Mbps
    5.3750 MB /   1.12 sec =   40.2810 Mbps
    4.1875 MB /   0.88 sec =   39.8738 Mbps
    4.8125 MB /   1.00 sec =   40.2073 Mbps
    4.8125 MB /   1.01 sec =   40.0275 Mbps
    5.1875 MB /   1.10 sec =   39.6742 Mbps
    4.9375 MB /   1.03 sec =   40.2182 Mbps
    4.1875 MB /   0.88 sec =   40.0821 Mbps
    4.6875 MB /   0.98 sec =   39.9328 Mbps
    5.8125 MB /   1.22 sec =   40.0466 Mbps
    6.8750 MB /   1.44 sec =   39.9208 Mbps
    1.6250 MB /   0.34 sec =   40.4984 Mbps
    5.1250 MB /   1.08 sec =   39.8577 Mbps
    5.1875 MB /   1.08 sec =   40.1222 Mbps
    3.8125 MB /   0.84 sec =   38.2161 Mbps
    6.8125 MB /   1.39 sec =   41.0038 Mbps
    2.8750 MB /   0.61 sec =   39.5743 Mbps
    6.0625 MB /   1.27 sec =   39.9026 Mbps
