    4.3750 MB /   0.91 sec =   40.1266 Mbps
    4.7500 MB /   1.00 sec =   39.7967 Mbps
    4.8125 MB /   1.00 sec =   40.3447 Mbps
    5.1250 MB /   1.08 sec =   39.9114 Mbps
    6.1250 MB /   1.28 sec =   40.0458 Mbps
    3.3125 MB /   0.70 sec =   39.7620 Mbps
    4.5000 MB /   0.94 sec =   40.0577 Mbps
    4.7500 MB /   1.00 sec =   39.9324 Mbps
    4.7500 MB /   1.00 sec =   39.8611 Mbps
    9.5625 MB /   2.00 sec =   40.1339 Mbps
    0.0000 MB /   0.00 sec =    0.0000 Mbps
    4.7500 MB /   1.00 sec =   39.7999 Mbps
    4.7500 MB /   1.00 sec =   39.8801 Mbps
    4.8125 MB /   1.00 sec =   40.3196 Mbps
    5.0000 MB /   1.05 sec =   40.1254 Mbps
    4.5000 MB /   0.95 sec =   39.5317 Mbps
    9.1250 MB /   1.91 sec =   40.1010 Mbps
    0.4375 MB /   0.09 sec =   40.9198 Mbps
    4.7500 MB /   1.00 sec =   39.6795 Mbps
    4.8125 MB /   1.00 sec =   40.3515 Mbps
    4.7500 MB /   1.00 sec =   39.8711 Mbps
    4.8125 MB /   1.00 sec =   40.2956 Mbps
    6.7500 MB /   1.42 sec =   39.8007 Mbps
    2.6875 MB /   0.57 sec =   39.4241 Mbps
   12.1875 MB /   2.54 sec =   40.2038 Mbps
    4.4375 MB /   0.92 sec =   40.2445 Mbps
    2.5000 MB /   0.53 sec =   39.3653 Mbps
    5.5625 MB /   1.17 sec =   39.7964 Mbps
    3.9375 MB /   0.83 sec =   39.9788 Mbps
    4.8125 MB /   1.00 sec =   40.3403 Mbps
    4.7500 MB /   1.00 sec =   39.6655 Mbps
    8.7500 MB /   1.82 sec =   40.2546 Mbps
    0.8125 MB /   0.18 sec =   38.9427 Mbps
    5.3750 MB /   1.12 sec =   40.2550 Mbps
    4.1250 MB /   0.88 sec =   39.4326 Mbps
    4.7500 MB /   1.00 sec =   39.8477 Mbps
    4.8125 MB /   1.00 sec =   40.3612 Mbps
    5.1250 MB /   1.07 sec =   40.1322 Mbps
    4.4375 MB /   0.93 sec =   40.0307 Mbps
    4.8125 MB /   1.01 sec =   40.0273 Mbps
    5.6250 MB /   1.18 sec =   39.8641 Mbps
