   12.1250 MB /   2.59 sec =   39.3423 Mbps
    2.2500 MB /   0.47 sec =   39.8372 Mbps
    5.3125 MB /   1.11 sec =   40.1051 Mbps
   14.6875 MB /   3.05 sec =   40.3783 Mbps
   23.1875 MB /   4.85 sec =   40.0681 Mbps
    4.4375 MB /   0.92 sec =   40.2876 Mbps
    4.7500 MB /   1.00 sec =   39.7591 Mbps
    4.8125 MB /   1.00 sec =   40.4377 Mbps
    6.2500 MB /   1.32 sec =   39.6761 Mbps
    3.2500 MB /   0.68 sec =   40.0616 Mbps
    4.7500 MB /   1.00 sec =   39.9441 Mbps
    4.8125 MB /   1.00 sec =   40.3361 Mbps
    4.7500 MB /   1.00 sec =   39.8445 Mbps
    4.9375 MB /   1.04 sec =   39.8831 Mbps
    4.5625 MB /   0.96 sec =   39.8297 Mbps
    4.8125 MB /   1.00 sec =   40.2274 Mbps
    4.7500 MB /   1.00 sec =   39.9915 Mbps
    4.7500 MB /   1.00 sec =   39.8385 Mbps
    4.8125 MB /   1.00 sec =   40.3673 Mbps
    4.7500 MB /   1.00 sec =   39.7693 Mbps
    5.5625 MB /   1.17 sec =   40.0498 Mbps
    4.0000 MB /   0.84 sec =   40.1273 Mbps
    4.7500 MB /   1.00 sec =   39.8773 Mbps
    6.7500 MB /   1.41 sec =   40.1537 Mbps
    4.3125 MB /   0.91 sec =   39.6672 Mbps
    4.0625 MB /   0.84 sec =   40.3371 Mbps
    5.0000 MB /   1.05 sec =   39.7823 Mbps
    5.8750 MB /   1.24 sec =   39.8669 Mbps
    5.5000 MB /   1.15 sec =   40.1970 Mbps
    1.8750 MB /   0.39 sec =   39.9984 Mbps
    4.7500 MB /   1.00 sec =   39.7944 Mbps
    4.7500 MB /   1.00 sec =   39.8805 Mbps
    4.8125 MB /   1.00 sec =   40.2888 Mbps
    4.7500 MB /   1.00 sec =   39.9461 Mbps
    4.7500 MB /   1.00 sec =   39.8134 Mbps
    4.7500 MB /   1.00 sec =   39.8778 Mbps
    4.8750 MB /   1.01 sec =   40.4377 Mbps
    8.3750 MB /   1.76 sec =   39.8396 Mbps
    1.1250 MB /   0.23 sec =   41.5638 Mbps
    5.6875 MB /   1.19 sec =   40.1084 Mbps
    3.8125 MB /   0.81 sec =   39.3989 Mbps
    4.7500 MB /   1.00 sec =   39.9709 Mbps
    4.7500 MB /   1.01 sec =   39.6127 Mbps
    4.9375 MB /   1.02 sec =   40.7751 Mbps
    4.6250 MB /   0.98 sec =   39.6834 Mbps
    4.7500 MB /   1.00 sec =   39.8391 Mbps
    7.5000 MB /   1.56 sec =   40.2812 Mbps
    2.1875 MB /   0.47 sec =   39.3390 Mbps
    5.7500 MB /   1.19 sec =   40.4029 Mbps
    3.6250 MB /   0.78 sec =   39.0631 Mbps
    4.8125 MB /   1.00 sec =   40.3697 Mbps
    4.7500 MB /   1.00 sec =   39.7053 Mbps
    5.3125 MB /   1.11 sec =   40.3194 Mbps
    4.3125 MB /   0.91 sec =   39.8264 Mbps
    4.7500 MB /   0.99 sec =   40.2593 Mbps
    4.6875 MB /   0.99 sec =   39.6493 Mbps
    4.8125 MB /   1.01 sec =   40.0963 Mbps
    4.8125 MB /   1.00 sec =   40.2746 Mbps
    6.7500 MB /   1.42 sec =   39.8588 Mbps
    2.7500 MB /   0.57 sec =   40.3104 Mbps
    4.7500 MB /   1.00 sec =   39.8387 Mbps
    4.8125 MB /   1.00 sec =   40.1871 Mbps
    4.7500 MB /   1.00 sec =   39.9970 Mbps
    4.7500 MB /   1.00 sec =   39.8785 Mbps
    4.7500 MB /   1.00 sec =   39.7675 Mbps
    4.8125 MB /   1.00 sec =   40.4031 Mbps
    4.7500 MB /   1.00 sec =   39.7225 Mbps
    4.7500 MB /   1.00 sec =   39.8785 Mbps
    9.0000 MB /   1.88 sec =   40.0638 Mbps
    0.5625 MB /   0.11 sec =   41.1124 Mbps
    4.7500 MB /   1.00 sec =   39.9927 Mbps
    5.9375 MB /   1.24 sec =   40.1718 Mbps
    3.5625 MB /   0.76 sec =   39.2562 Mbps
    4.8125 MB /   1.00 sec =   40.3066 Mbps
    4.7500 MB /   1.00 sec =   39.9406 Mbps
    4.7500 MB /   1.00 sec =   39.8133 Mbps
    4.7500 MB /   1.00 sec =   39.8804 Mbps
    4.8125 MB /   1.00 sec =   40.3624 Mbps
    4.8125 MB /   1.00 sec =   40.1741 Mbps
    4.7500 MB /   1.00 sec =   40.0373 Mbps
    8.3125 MB /   1.75 sec =   39.7932 Mbps
    1.1875 MB /   0.25 sec =   40.3039 Mbps
    4.8125 MB /   1.00 sec =   40.3305 Mbps
    7.0000 MB /   1.47 sec =   39.8732 Mbps
    2.5625 MB /   0.53 sec =   40.3277 Mbps
    4.7500 MB /   1.00 sec =   39.6830 Mbps
    4.7500 MB /   0.99 sec =   40.1573 Mbps
   10.1250 MB /   2.13 sec =   39.9150 Mbps
    7.1250 MB /   1.49 sec =   40.1292 Mbps
    1.8125 MB /   0.38 sec =   39.8724 Mbps
    4.7500 MB /   1.00 sec =   39.8352 Mbps
    5.1875 MB /   1.09 sec =   40.0899 Mbps
    6.3750 MB /   1.34 sec =   40.0238 Mbps
    2.7500 MB /   0.58 sec =   39.7083 Mbps
    5.4375 MB /   1.14 sec =   40.0375 Mbps
    4.0625 MB /   0.86 sec =   39.8556 Mbps
    4.8125 MB /   1.00 sec =   40.3334 Mbps
    7.9375 MB /   1.67 sec =   39.8946 Mbps
    1.6250 MB /   0.33 sec =   41.2669 Mbps
    5.1250 MB /   1.08 sec =   39.8872 Mbps
    4.3750 MB /   0.92 sec =   39.7159 Mbps
    4.7500 MB /   1.00 sec =   39.8814 Mbps
    4.8125 MB /   1.00 sec =   40.4035 Mbps
    4.7500 MB /   1.01 sec =   39.6434 Mbps
    4.8750 MB /   1.03 sec =   39.8181 Mbps
    4.6875 MB /   0.97 sec =   40.4879 Mbps
    4.7500 MB /   1.00 sec =   39.9931 Mbps
    4.7500 MB /   1.00 sec =   39.8441 Mbps
    4.7500 MB /   1.00 sec =   39.8398 Mbps
    4.8125 MB /   1.00 sec =   40.3614 Mbps
    6.0000 MB /   1.26 sec =   39.8746 Mbps
    4.2500 MB /   0.89 sec =   39.8722 Mbps
    4.0625 MB /   0.85 sec =   40.2590 Mbps
    4.7500 MB /   1.00 sec =   39.8000 Mbps
    4.7500 MB /   1.00 sec =   39.9960 Mbps
    5.5000 MB /   1.15 sec =   39.9570 Mbps
    4.0625 MB /   0.84 sec =   40.3500 Mbps
    7.2500 MB /   1.52 sec =   39.9414 Mbps
    2.2500 MB /   0.48 sec =   39.5169 Mbps
    4.8125 MB /   1.00 sec =   40.2877 Mbps
    5.1250 MB /   1.08 sec =   39.8186 Mbps
    6.6250 MB /   1.39 sec =   40.1019 Mbps
    2.5625 MB /   0.53 sec =   40.3261 Mbps
    4.7500 MB /   1.00 sec =   39.8639 Mbps
    4.7500 MB /   1.00 sec =   39.8611 Mbps
    4.8125 MB /   1.01 sec =   39.8853 Mbps
    4.7500 MB /   0.99 sec =   40.3404 Mbps
    4.9375 MB /   1.05 sec =   39.5868 Mbps
    4.5625 MB /   0.96 sec =   40.0492 Mbps
    4.8125 MB /   1.00 sec =   40.3938 Mbps
    4.6875 MB /   1.00 sec =   39.3311 Mbps
    4.8125 MB /   1.00 sec =   40.2700 Mbps
    7.8125 MB /   1.63 sec =   40.2034 Mbps
    2.6250 MB /   0.55 sec =   39.7691 Mbps
    3.8750 MB /   0.81 sec =   39.9961 Mbps
    5.3750 MB /   1.12 sec =   40.0871 Mbps
    4.1875 MB /   0.88 sec =   40.0063 Mbps
    4.7500 MB /   1.00 sec =   39.7428 Mbps
    4.7500 MB /   1.00 sec =   40.0041 Mbps
    6.7500 MB /   1.41 sec =   40.1061 Mbps
    2.8125 MB /   0.59 sec =   40.0498 Mbps
    4.7500 MB /   1.00 sec =   39.7230 Mbps
    5.8750 MB /   1.22 sec =   40.4333 Mbps
    3.6250 MB /   0.78 sec =   38.9715 Mbps
    7.1250 MB /   1.48 sec =   40.3462 Mbps
    2.4375 MB /   0.51 sec =   39.7683 Mbps
    5.1875 MB /   1.08 sec =   40.3441 Mbps
    7.8125 MB /   1.65 sec =   39.7381 Mbps
    1.3125 MB /   0.28 sec =   39.8954 Mbps
    4.8125 MB /   1.00 sec =   40.2460 Mbps
    4.7500 MB /   0.99 sec =   40.0751 Mbps
    4.8750 MB /   1.02 sec =   40.1377 Mbps
    4.6250 MB /   0.98 sec =   39.5699 Mbps
